Time since last connection,Duration of connection,Protocol,Total Bytes Transferred,Fraction of Bytes Downloaded
1.070071,0.1626,https,3254,0.639213276
0.000141,0.1625,https,3718,0.684238838
0.179834,0.1474,https,1994,0.534603811
6.015661,1.6025,https,2774,0.33850036
2307.925625,0.1817,http,945,0.534391534
11032.65602,0.1426,http,1174,0.540034072
1700.307632,121.1341,http,2411,0.547905433
1147.296463,0.1671,https,5950,0.899495798
719.205347,0.1099,https,5950,0.899495798
16218.48062,0.4138,https,7542,0.910368602
4947.999792,0.8341,http,2440,0.790163934
10989.97489,8.5105,http,1272,0.477201258
905.173006,72.4596,http,3077,0.655508612
0.254036,72.2055,http,4073,0.582371716
0.000142,72.206,http,15419,0.878137363
2.106999,70.0987,https,11582,0.775513728
0.27214,69.8265,https,5741,0.462985543
0.000385,69.8265,https,4363,0.601650241
365.404964,64.4382,http,4370,0.60389016
1.545415,77.8929,https,13469,0.690474423
3651.578005,63.5131,http,3048,0.663057743
0.260456,63.2527,http,5056,0.582278481
0.001093,63.2516,http,14094,0.920675465
1.987091,61.2648,https,9273,0.821956217
0.273947,5.5594,https,6591,0.493096647
0.000809,60.9901,https,3934,0.667768175
5102.388214,63.2344,http,7805,0.620243434
0.407325,62.8275,http,14119,0.918761952
2.229036,60.6256,https,13989,0.759167918
0.584455,75.0175,https,6093,0.515017233
109.357697,0.1777,https,5950,0.899495798
79.896972,0.3205,http,5031,0.921089247
0.322663,0.1884,http,5031,0.921089247
0.190568,22396.241,http,1793495780,0.979071754
266.479036,0.203,https,5950,0.899495798
13604.55602,0.4944,http,1122,0.515151515
3176.222022,0.4366,https,7542,0.910368602
36.083289,61.7064,http,6752,0.642624408
0.29346,61.4129,http,17012,0.843757348
17157.85813,0.1322,http,1174,0.540034072
7793.636253,121.138,http,2411,0.547905433
1142.814843,0.1767,https,6016,0.88962766
613.75794,0.1309,https,280,0.264285714
607.665989,0.2062,https,5950,0.899495798
788.194395,4.6775,https,6621,0.842772995
405.655865,0.1668,http,945,0.534391534
1642.41273,0.1365,http,945,0.534391534
8766.030924,0.2383,http,5031,0.921089247
0.241846,0.3729,http,5031,0.921089247
0.376134,0.1381,http,7822,0.917156737
0.142381,10017.8261,http,796413371,0.979109399
4227.736595,0.3929,https,7542,0.910368602
3243.360802,0.3854,http,2569,0.761385753
3411.554414,65.897,http,6580,0.631155015
0.313879,65.5832,http,15541,0.875490638
2.225344,63.3575,https,11582,0.775513728
0.272986,78.0846,https,5741,0.462985543
0.012024,63.0726,https,4363,0.601650241
1261.386774,71.475,http,3139,0.66932144
0.263189,71.2118,http,4221,0.594645819
0.000781,71.211,http,14520,0.904132231
2.919631,68.291,https,12547,0.723280465
0.274848,68.0163,https,2934,0.312201772
4417.788946,0.1734,http,945,0.534391534
10383.99104,1.1465,http,2428,0.798187809
